NomGuardião do Patrimônioe,Descrição,Pontos
Primeiro Passo,Visite sua primeira obra cultural,10
Primeira Fila,Participe do seu primeiro evento,10
Explorador em Treinamento,Visite 5 obras,20
Aquecimento Cultural,Participe de 3 eventos,20
Turista Curioso,Visite 10 obras,30
Roteiro Completo,Visite 25 obras,50
Fã de Carteirinha,Visite todas as obras do artista XYZ...,50
Colecionador de Experiências,Visite 50 obras,80
Maratonista Cultural,Visite 100 obras culturais,120
,Visite todas as obras disponíveis,150
Plateia Atenta,Participe de 10 eventos,40
Sempre Presente,Participe de 25 eventos,60
Cartão Fidelidade,Participe de 50 eventos,80
Entusiasta Cultural,Participe de 100 eventos,120
Noite em Claro,Participe de um evento que termina depois da meia-noite,50
Comprometido,Participe de eventos por 4h seguidas,40
Imersão Cultural,Participe de eventos por 8h seguidas,80
Primeiro da Fila,Seja o primeiro a participar de um evento,50
Desbravador,Seja o primeiro a visitar uma obra,50
Acampando na Fila,Seja o primeiro a comparecer a um evento,50
